rel=cannonical	title	parent	onlineItems
http://www.oac.cdlib.org/findaid/ark:/13030/kt3q2nd7g5	100 Years of the Latino Image in Hollywood Cinema (The Bronze Screen) Film Production Materials	ark:/13030/kt187015vw	false
http://www.oac.cdlib.org/findaid/ark:/13030/kt209nd6xh	11th Bombardment Group (H) Association miscellany	ark:/13030/tf4m3nb8sq	false
http://www.oac.cdlib.org/findaid/ark:/13030/kt2w1031v3	13th Air Force Veterans Association records	ark:/13030/tf4m3nb8sq	false
http://www.oac.cdlib.org/findaid/ark:/13030/tf8d5nb3x9	1750 Arch Tape Collection	ark:/13030/tf4000119v	false
http://www.oac.cdlib.org/findaid/ark:/13030/kt5x0nf3xb	1891: A Novel About the Origins of Stanford University	ark:/13030/tf458010c5	false
http://www.oac.cdlib.org/findaid/ark:/13030/hb8779p2cx	1906 San Francisco Earthquake and Fire Digital Collection	ark:/13030/tf7r29p8s0	true
http://www.oac.cdlib.org/findaid/ark:/13030/c8s46t5g	1906 San Francisco earthquake and fire photograph album	ark:/13030/tf129008pn	false
http://www.oac.cdlib.org/findaid/ark:/13030/kt4m3nc8jw	1910 Los Angeles International Aviation Meet Research Collection	ark:/13030/tf029009dp	false
http://www.oac.cdlib.org/findaid/ark:/13030/kt5g50345h	1914-1936 [Tysioc dziewiecset czternascie tysioc dziewiecset trzydziesci szesc] motion picture film	ark:/13030/tf4m3nb8sq	false
http://www.oac.cdlib.org/findaid/ark:/13030/tf196nb4nt	"1916 Preparedness Day Parade Bombing, 1916-1933 - Photographs"	ark:/13030/tf7r29p8s0	true
http://www.oac.cdlib.org/findaid/ark:/13030/c8r78g68	1932 Olympics Equestrian scrapbook	ark:/13030/tf1p3009z6	false
http://www.oac.cdlib.org/findaid/ark:/13030/kt8d5nd0b9	1932 Olympics Exhibit Collection	ark:/13030/tf029009dp	false
http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb8zx	1934 International Longshoremen's Association and General Strike	ark:/13030/tf7r29p8s0	true
http://www.oac.cdlib.org/findaid/ark:/13030/c8wd4130	1952 Steel Crisis pamphlets	ark:/13030/tf6t1nc15d	false
http://www.oac.cdlib.org/findaid/ark:/13030/kt187034s8	"1975-76 Student Evaluation of the Program in Administration and Policy Analysis, Stanford University School of Education, Report"	ark:/13030/tf458010c5	false
http://www.oac.cdlib.org/findaid/ark:/13030/kt6779r7dg	1981 Presidential Inaugural Committee records	ark:/13030/tf4m3nb8sq	false
http://www.oac.cdlib.org/findaid/ark:/13030/tf3z09n6w6	1984 Free Speech Movement Memorial Rally - Photographs	ark:/13030/tf7r29p8s0	true
http://www.oac.cdlib.org/findaid/ark:/13030/kt009nd8b2	1984 Los Angeles Olympics ephemera	ark:/13030/tf6t1nc15d	false
http://www.oac.cdlib.org/findaid/ark:/13030/c8tx3cqc	1984 Olympic Games Collection	ark:/13030/kt2j49q7f8	false
http://www.oac.cdlib.org/findaid/ark:/13030/kt4h4nf3h6	1984 Olympic Games records	ark:/13030/tf458010c5	false
http://www.oac.cdlib.org/findaid/ark:/13030/c8h995z9	1984 Olympics Collection	ark:/13030/kt8g5040dk	false
http://www.oac.cdlib.org/findaid/ark:/13030/c8pc31df	1984 Olympics Materials Collection	ark:/13030/kt4c60381d	false
http://www.oac.cdlib.org/findaid/ark:/13030/kt6q2nf5n5	1992 IFUW Conference [videorecording]	ark:/13030/tf458010c5	false
http://www.oac.cdlib.org/findaid/ark:/13030/c8348jcd	19th Century European Urban Scenes	ark:/13030/kt4c60381d	false
http://www.oac.cdlib.org/findaid/ark:/13030/c8j103p1	19th Century Magazine Illustration Collection	ark:/13030/kt4c60381d	false
http://www.oac.cdlib.org/findaid/ark:/13030/kt2489r5pr	19th Century Newspaper Collection	ark:/13030/tf4779p5jq	false
http://www.oac.cdlib.org/findaid/ark:/13030/c8k074zn	19th century photographs collection	ark:/13030/tf6t1nc15d	false
http://www.oac.cdlib.org/findaid/ark:/13030/c82j6cvp	"19th century theatrical programs, newspapers, and broadside collection"	ark:/13030/tf6t1nc15d	false
http://www.oac.cdlib.org/findaid/ark:/13030/c8n29vnc	19th-century American political and literary figures album of carte de visite portraits	ark:/13030/tf129008pn	false
http://www.oac.cdlib.org/findaid/ark:/13030/kt6v19q35d	20th Anniversary Photography Exhibit	ark:/13030/kt9t1nc831	false
http://www.oac.cdlib.org/findaid/ark:/13030/kt709nc7kx	20th Century Organizational Files	ark:/13030/tf7q2nb9fm	false
http://www.oac.cdlib.org/findaid/ark:/13030/c8qn6555	24-7 Prayer Collection	ark:/13030/c8vq312z	false
http://www.oac.cdlib.org/findaid/ark:/13030/tf7489n8bw	"25th Anniversary, California State University Dominguez Hills"	ark:/13030/tf029009dp	false
http://www.oac.cdlib.org/findaid/ark:/13030/kt196nc2d1	25th Anniversary Photography project	ark:/13030/kt9t1nc831	false
http://www.oac.cdlib.org/findaid/ark:/13030/kt8580387f	27th Annual Viennese Ball [videorecording]	ark:/13030/tf458010c5	false
http://www.oac.cdlib.org/findaid/ark:/13030/kt2q2nf2bt	3:16 Bible Texts Illuminated	ark:/13030/tf458010c5	false
http://www.oac.cdlib.org/findaid/ark:/13030/kt296nd7zg	40th Bomb Group Association records	ark:/13030/tf4m3nb8sq	false
http://www.oac.cdlib.org/findaid/ark:/13030/kt0779r3bn	4th of July Orations Collection	ark:/13030/kt7199q50v	false
http://www.oac.cdlib.org/findaid/ark:/13030/kt6z09q2d6	4-Ven-39 (La Robleda) Archives	ark:/13030/tf0h4nb4rc	true
http://www.oac.cdlib.org/findaid/ark:/13030/kt1j49r2rn	557th Bomb Squadron Association issuances	ark:/13030/tf4m3nb8sq	false
http://www.oac.cdlib.org/findaid/ark:/13030/kt3q2nd7m7	58th Bomb Wing Association records	ark:/13030/tf4m3nb8sq	false
http://www.oac.cdlib.org/findaid/ark:/13030/kt887039ns	The 9/11 Reflection Project Email	ark:/13030/tf458010c5	false


