rel=cannonical	title	parent
http://www.oac.cdlib.org/findaid/ark:/13030/kt0f59r4f0	Baade (Fritz) memoranda	ark:/13030/tf4m3nb8sq
http://www.oac.cdlib.org/findaid/ark:/13030/tf896nb2x5	Baade (Wilhelm H.W.) Papers	ark:/13030/tf209nb609
http://www.oac.cdlib.org/findaid/ark:/13030/kt8k4035m9	Baarslag (Karl) papers	ark:/13030/tf4m3nb8sq
http://www.oac.cdlib.org/findaid/ark:/13030/kt9s20433n	Babb (Charles H.) Collection	ark:/13030/kt9f59s474
http://www.oac.cdlib.org/findaid/ark:/13030/kt1c6031vh	Babb (James) papers	ark:/13030/tf4m3nb8sq
http://www.oac.cdlib.org/findaid/ark:/13030/kt029030m4	Babb (Nancy) papers	ark:/13030/tf4m3nb8sq
http://www.oac.cdlib.org/findaid/ark:/13030/kt787034df	Babcock (Conrad Stanton) papers	ark:/13030/tf4m3nb8sq
http://www.oac.cdlib.org/findaid/ark:/13030/tf4489p0wt	"Babcock (Harry) Photograph Albums, 1881-1883"	ark:/13030/tf7r29p8s0
http://www.oac.cdlib.org/findaid/ark:/13030/kt2489r4xw	Babel' (I.) letters	ark:/13030/tf4m3nb8sq
http://www.oac.cdlib.org/findaid/ark:/13030/kt1489r5md	Babinski (Witold) typescript	ark:/13030/tf4m3nb8sq
http://www.oac.cdlib.org/findaid/ark:/13030/kt0r29r758	Babitz (Mae) papers	ark:/13030/tf129008pn
http://www.oac.cdlib.org/findaid/ark:/13030/tf938nb646	"Babitz (Sol) Collection of Research Materials, Correspondence, and Papers, 1948-1982"	ark:/13030/kt4199r6d2
http://www.oac.cdlib.org/findaid/ark:/13030/tf3t1n99d2	Baby Hygiene Committee Records	ark:/13030/tf7v19p5mm
http://www.oac.cdlib.org/findaid/ark:/13030/kt867nd0km	Baca (Herman) Papers	ark:/13030/tf5r29p653
http://www.oac.cdlib.org/findaid/ark:/13030/c8v98b5s	Baccigaluppi (Harry) Papers.	ark:/13030/tf1489p250
http://www.oac.cdlib.org/findaid/ark:/13030/kt0r29r7bv	Bach (George Leland) Papers	ark:/13030/tf458010c5
http://www.oac.cdlib.org/findaid/ark:/13030/kt3489q4fh	Bacher (Robert F.) papers	ark:/13030/tf938nc278
http://www.oac.cdlib.org/findaid/ark:/13030/kt3s20031z	Bacher (William A.) Papers	ark:/13030/tf129008pn
http://www.oac.cdlib.org/findaid/ark:/13030/kt2870026g	Back (Frank) Papers	ark:/13030/tf5r29p653
http://www.oac.cdlib.org/findaid/ark:/13030/c8ws8vq9	Back to the Ranch	ark:/13030/kt8489r6nk
http://www.oac.cdlib.org/findaid/ark:/13030/ft4d5nb18n	Bacon (Ernst) Papers	ark:/13030/tf5r29p4tz
http://www.oac.cdlib.org/findaid/ark:/13030/tf1p3002dj	Bacon (Ernst) Papers	ark:/13030/tf4000119v
http://www.oac.cdlib.org/findaid/ark:/13030/tf3c6002wf	Bacon (Ernst) Papers	ark:/13030/tf5r29p4tz
http://www.oac.cdlib.org/findaid/ark:/13030/c8h99785	Bacon Family papers	ark:/13030/tf458010c5
http://www.oac.cdlib.org/findaid/ark:/13030/c8cj8g5h	Bacon (Francis) Library Archive	ark:/13030/c8x068dv
http://www.oac.cdlib.org/findaid/ark:/13030/kt509nf4wd	Bacon (Frank) Records	ark:/13030/kt1d5nc252
http://www.oac.cdlib.org/findaid/ark:/13030/tf6d5nb1qm	Bacon (Henry D.) Papers	ark:/13030/tf209nb609
http://www.oac.cdlib.org/findaid/ark:/13030/c8gt5q9r	Bacon (Lloyd) papers	ark:/13030/c8ff3t03
http://www.oac.cdlib.org/findaid/ark:/13030/k6c8276x	Bacon (Madi) papers	ark:/13030/tf7r29p8s0
http://www.oac.cdlib.org/findaid/ark:/13030/kt8q2nf3hr	Bacon (Walter M.) typescript	ark:/13030/tf4m3nb8sq
http://www.oac.cdlib.org/findaid/ark:/13030/kt5p30049j	Badash (Lawrence) Papers	ark:/13030/kt2j49q7f8
