rel=cannonical	title
http://www.oac.cdlib.org/findaid/ark:/13030/c8j104bz	C. D. Bryant (bark) logbook
http://www.oac.cdlib.org/findaid/ark:/13030/kt6v19q65v	C. M. Silva &amp; Son Correspondence
http://www.oac.cdlib.org/findaid/ark:/13030/c8nk3crt	"C.A. Thayer (built 1895; schooner, 3m) Bills of Sale of Enrolled Vessel"
http://www.oac.cdlib.org/findaid/ark:/13030/c8jd4xc7	"C.A. Thayer (built 1895; schooner, 3m) logbooks"
http://www.oac.cdlib.org/findaid/ark:/13030/c8kw5hq8	"C.A. Thayer (built 1895; schooner, 3m) logbooks"
http://www.oac.cdlib.org/findaid/ark:/13030/kt6q2nf76d	C.A. Thayer (built 1895; schooner: 3m) records
http://www.oac.cdlib.org/findaid/ark:/13030/kt3h4nf04r	Caban (Barbara) papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt4199r93v	Cabaniss (George Henry) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/c84t6m9s	Cabaret (Dennis) papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt6d5nf2st	Cable (Arthur Lovejoy) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/tf829009kr	Cabrillo Civic Clubs of California Scrapbooks
http://www.oac.cdlib.org/findaid/ark:/13030/kt529018f2	Cabrinety (Stephen M.) Collection in the History of Microcomputing
http://www.oac.cdlib.org/findaid/ark:/13030/tf8d5nb6g1	"Cactus in Mojave Desert, Southern Calif"
http://www.oac.cdlib.org/findaid/ark:/13030/kt109n99ws	Caddell and Davies Records
http://www.oac.cdlib.org/findaid/ark:/13030/ft75800518	Caddes (Carolyn) PORTRAITS OF SUCCESS : research materials and original photographs
http://www.oac.cdlib.org/findaid/ark:/13030/c8n8786t	Cade (Cathy) Photographs Collection
http://www.oac.cdlib.org/findaid/ark:/13030/tf000000d7	Cadwalader (Bertram L.) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/c8g44rpt	Cady (John) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt1t1nf1sd	Cady (John) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt0779q0c8	Caesar's Hour - Collection of Television Scripts
http://www.oac.cdlib.org/findaid/ark:/13030/tf2s20028f	Caetani (Gelasio) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt6b69r0xh	Cage (John) &amp; Brown (Norman O.) Photographs
http://www.oac.cdlib.org/findaid/ark:/13030/kt4w10133d	Cage (John) Mycology Collection
http://www.oac.cdlib.org/findaid/ark:/13030/tf029001hc	"Cahill (Berhard J. S.) Records, ca. 1889-1938"
