rel=cannonical	title	parent	onlineItems
http://www.oac.cdlib.org/findaid/ark:/13030/c8v69ks3	I. Magnin &amp; Co. Records	ark:/13030/tf809nb9vj	true
http://www.oac.cdlib.org/findaid/ark:/13030/kt187003h9	I Spy Collection of Scripts and Production Material for the Television Series	ark:/13030/tf129008pn	false
http://www.oac.cdlib.org/findaid/ark:/13030/kt0s20283c	IAkovkina (El.) diary transcript	ark:/13030/tf4m3nb8sq	false
http://www.oac.cdlib.org/findaid/ark:/13030/kt1b69r5h5	"IAkovlev, (IAkov Arkad'evich) mimeograph"	ark:/13030/tf4m3nb8sq	false
http://www.oac.cdlib.org/findaid/ark:/13030/kt467nd80f	IAremenko (A. N.) transcript	ark:/13030/tf4m3nb8sq	false
http://www.oac.cdlib.org/findaid/ark:/13030/kt829036q2	Iavorskaia (Elena Iur'evna) Papers	ark:/13030/tf4m3nb8sq	false
http://www.oac.cdlib.org/findaid/ark:/13030/c80k2b99	Iazykov (Nikolai) Papers.	ark:/13030/tf1489p250	false
http://www.oac.cdlib.org/findaid/ark:/13030/tf5p3004rx	Ibarbourou (Juana de) Papers	ark:/13030/tf5r29p4tz	false
http://www.oac.cdlib.org/findaid/ark:/13030/c8ft8mmc	Ibser (Homer W.) Papers	ark:/13030/kt796nc8ds	false
http://www.oac.cdlib.org/findaid/ark:/13030/kt6779r78d	"Ichelson, (David L.) typescript"	ark:/13030/tf4m3nb8sq	false
http://www.oac.cdlib.org/findaid/ark:/13030/tf7z09n9k7	Ichihashi (Yamato) Papers	ark:/13030/tf458010c5	false
http://www.oac.cdlib.org/findaid/ark:/13030/kt3z09n6d9	Ichioka (Yuji) Papers	ark:/13030/tf129008pn	false
http://www.oac.cdlib.org/findaid/ark:/13030/kt5s20365f	Ickes (Harold L.) printed material	ark:/13030/tf4m3nb8sq	false
http://www.oac.cdlib.org/findaid/ark:/13030/kt738nf7fd	Identification of Trees in the Frost Memorial Amphitheatre Area; Special Problem in Botany Report	ark:/13030/tf458010c5	false
http://www.oac.cdlib.org/findaid/ark:/13030/c89g5khs	Identification Photo Service records	ark:/13030/tf9d5nc0sj	false
