rel=cannonical	title
http://www.oac.cdlib.org/findaid/ark:/13030/c8t43tqt	K. (Fred) Collection of Gay Male Erotica
http://www.oac.cdlib.org/findaid/ark:/13030/kt9b69r450	Kachamba (Donald)
http://www.oac.cdlib.org/findaid/ark:/13030/kt4t1nf3c3	Kadane (Joseph) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt1j49r2wq	Kader (Boris M.) collection
http://www.oac.cdlib.org/findaid/ark:/13030/tf0489n7jb	Kadrmas (Johnel). The New Ways Are Here
http://www.oac.cdlib.org/findaid/ark:/13030/kt0r29r559	Kaestle (Carl F.) papers
http://www.oac.cdlib.org/findaid/ark:/13030/tf538nb084	Kagan (Paul) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt9f59q854	Kagel (Sam) Collection
http://www.oac.cdlib.org/findaid/ark:/13030/tf7b69n8g8	Kagel (Sam) Oral History
http://www.oac.cdlib.org/findaid/ark:/13030/tf9d5nb5kd	Kagiwada Brothers Papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt1m3nf1mh	Kahgan (Philip) Collection
http://www.oac.cdlib.org/findaid/ark:/13030/kt138nd9q6	Kahn (Louis E.) letters
http://www.oac.cdlib.org/findaid/ark:/13030/c8jd4v65	Kahn (Matt) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/c8n29xjv	Kaiser (Armin Dale) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/c8pc30sz	Kaiser (Bill) Milano Archives Photographs
http://www.oac.cdlib.org/findaid/ark:/13030/tf9779p0rz	Kaiser (Edgar F.) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/c89887tr	Kaiser (H. G.) Collection
http://www.oac.cdlib.org/findaid/ark:/13030/tf958012j8	"Kaiser (Henry J.) Collection - Selections From the Pictorial Collection, 1941-1946"
http://www.oac.cdlib.org/findaid/ark:/13030/tf3x0nb00m	Kaiser (Henry J.) Jr. Papers
http://www.oac.cdlib.org/findaid/ark:/13030/tf2v19n6d0	Kaiser (Henry J.) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt438nf13d	Kaiser (Jakob) speech transcript
http://www.oac.cdlib.org/findaid/ark:/13030/c8z31x34	"Kakis, Frederic J. (academic papers)"
http://www.oac.cdlib.org/findaid/ark:/13030/kt467nf284	Kalenborn (Arion Siegfried) Photograph Album
http://www.oac.cdlib.org/findaid/ark:/13030/kt0g50160f	"Kalia (Ravi) Collection Relating to the Planning of Chandigarh, Punjab, India"
http://www.oac.cdlib.org/findaid/ark:/13030/c8kh0nzc	Kalil Family papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt4m3nb915	Kall (Alexis) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt9b69s66x	Kallis (Stanley M.) Scripts
http://www.oac.cdlib.org/findaid/ark:/13030/kt9779s16v	Kalmer (Nicholas) radio broadcast
http://www.oac.cdlib.org/findaid/ark:/13030/c879466g	Kalmus (Natalie) papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt9t1nf53g	Kalnins (Eduards) papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt4g5020tn	Kalpakian (Laura) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt138nd9pp	Kaltenbach (Frederick Wilhelm) miscellaneous papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt4j49q39w	Kalter (Suzy) Collection of Dallas Television Scripts
http://www.oac.cdlib.org/findaid/ark:/13030/kt9w1015f3	Kalugin (Nikolai Petrovich) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt2h4nf35d	Kambara (Dr. George) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt3n39r93g	Kamchatka Photograph Album
http://www.oac.cdlib.org/findaid/ark:/13030/tf4199n98r	Kamen (Martin David) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt0t1nd6zn	Kammerer (Albert) typescript
http://www.oac.cdlib.org/findaid/ark:/13030/kt1b69r5n7	Kampanakes (Patroklos) letter
http://www.oac.cdlib.org/findaid/ark:/13030/kt1j49r627	"Kanaar, Adrian Charles, M.D., Papers"
http://www.oac.cdlib.org/findaid/ark:/13030/c8s75fbt	Kanai (Lincoln) papers
http://www.oac.cdlib.org/findaid/ark:/13030/tf2c60024r	Kandel (Isaac L.) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt3d5nf3pt	Kandel (Stephen) papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt1r29n4zp	Kandinsky (Wassily) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/tf8r29n9tv	Kane (Elisha K. Papers)
http://www.oac.cdlib.org/findaid/ark:/13030/tf5x0nb1bw	Kane (Thomas L.) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/ft767nb324	Kanehara (Setsu) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt067nd8zp	Kanner (Heinrich) writings
http://www.oac.cdlib.org/findaid/ark:/13030/c8rv0m46	Kansas City Trucking Co. Collection
http://www.oac.cdlib.org/findaid/ark:/13030/kt2489r550	Kansil (Joli Quentin) papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt5q2nf543	Kantner (Harold DeWolf) Personal Collection
http://www.oac.cdlib.org/findaid/ark:/13030/tf4j49n6vc	Kantor (Harry S.) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/c8q81bdp	Kantor (Kenneth) papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt6v19r769	Kantor (Saul and Yakov) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt6p3042mb	Kapiloff (Lawrence) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt5g5005pd	Kaplan (Abraham A.) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/c86q1z11	"Kaplan, Abraham Collection"
http://www.oac.cdlib.org/findaid/ark:/13030/tf029000tj	Kaplan (Celeste S.) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt6j49s0s6	Kaplan (Henry S.) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/tf3h4nb262	Kaplan (Joseph) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt509nf1bp	Kaplan (Karel) collection
http://www.oac.cdlib.org/findaid/ark:/13030/tf5z09p0m7	Kaplan (Nathan O.) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/tf9z09p3r0	Kaplan (Oscar and Rose) Public Opinion Surveys
http://www.oac.cdlib.org/findaid/ark:/13030/kt100033k8	Kaplan (Oscar J.) Collection
http://www.oac.cdlib.org/findaid/ark:/13030/tf8489n953	Kaplan (Phillis A.) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt4z09r84s	Kaplun (Irina) writings
http://www.oac.cdlib.org/findaid/ark:/13030/kt6b69r8c3	Kapnist (Lieutenant) papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt5j49p7pc	"Kappa Phi Zeta, Alpha Chapter records"
http://www.oac.cdlib.org/findaid/ark:/13030/kt067nf2nk	Kappe (Ray) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/tf6z09n9db	Kappes (Marion) research material re folk tunes
http://www.oac.cdlib.org/findaid/ark:/13030/tf9d5nb3dv	Kaprow (Allan) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/tf2r29n5r1	Kapusta (Alvin) Collection
http://www.oac.cdlib.org/findaid/ark:/13030/kt6p3040nw	Kapustianskii (A. P.) typescript
http://www.oac.cdlib.org/findaid/ark:/13030/kt5v19q8zd	"Karabian, Walter J. Papers"
http://www.oac.cdlib.org/findaid/ark:/13030/kt9q2nc25h	Karachi Photograph Album
http://www.oac.cdlib.org/findaid/ark:/13030/kt6g503449	Karaolos No. 1 Headquarters Camp directives
http://www.oac.cdlib.org/findaid/ark:/13030/kt2k4032z5	Karasik (Theodore William) collection
http://www.oac.cdlib.org/findaid/ark:/13030/tf0g5000z7	Karcz (Jerzy F.) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt0j49r6t9	Karczag (Dezso) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt5t1nf0zr	Karklis (Arved Andreevich) papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt3489s0t5	Karl Bach papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt2r29p56j	Karlson (Phil) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt9t1nf51f	Karmilof (Olga) mimeograph
http://www.oac.cdlib.org/findaid/ark:/13030/kt1779r429	Karmin (Otto) miscellaneous papers
http://www.oac.cdlib.org/findaid/ark:/13030/c8wm1gkk	Karno (Marvin) M.D. professional papers
http://www.oac.cdlib.org/findaid/ark:/13030/tf0580007d	Kaross (Sonia Baltrun) Oral History
http://www.oac.cdlib.org/findaid/ark:/13030/kt5b69r87q	Karov (D.) typescript
http://www.oac.cdlib.org/findaid/ark:/13030/tf3m3n99sf	Karpinski (Louis C.) Collection
http://www.oac.cdlib.org/findaid/ark:/13030/kt2t1nf0rq	Karpov (Mikhail Pavlovich) papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt709nc1fz	Kars Photograph Album
http://www.oac.cdlib.org/findaid/ark:/13030/tf187001bd	Karski (Jan) papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt7v19q3kx	Karubian (Richard [Rouhollah]) collection of Arabic and Persian manuscripts
http://www.oac.cdlib.org/findaid/ark:/13030/tf3x0nb276	Kasai Family Papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt787034pk	Kasak (Elias) typescript
http://www.oac.cdlib.org/findaid/ark:/13030/kt9d5nf2d2	Kasakow (Sergei Vladimirovich) typescript
http://www.oac.cdlib.org/findaid/ark:/13030/c8bz64r2	Kasch (Frederick W.) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt5000374q	Kaslas (Bronis J) papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt8k4037ns	Kasmin Limited Records
http://www.oac.cdlib.org/findaid/ark:/13030/kt6580359d	Kasprzycki (Piotr Pawel) mimeograph
http://www.oac.cdlib.org/findaid/ark:/13030/kt4f59r7vw	Kasson (John Adam) letters
http://www.oac.cdlib.org/findaid/ark:/13030/kt096nd791	Kastchenko (Marie) typescript
http://www.oac.cdlib.org/findaid/ark:/13030/kt900039p6	Kataev (Vitalii Leonidovich) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt2v19r44k	Katalog der Spielwaren Ausstellung in Titograd typescript
http://www.oac.cdlib.org/findaid/ark:/13030/c8kp82z3	Katano Family Papesrs
http://www.oac.cdlib.org/findaid/ark:/13030/kt1k4035d1	Katchadourian (Herant A.) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/c8tq630q	Katchongva (Chief Dan) Collection
http://www.oac.cdlib.org/findaid/ark:/13030/c8gx4cbq	Kate Davenport (ship) and Red Cross (ship) logbook
http://www.oac.cdlib.org/findaid/ark:/13030/kt2b69r59c	Katkov (George) typescript
http://www.oac.cdlib.org/findaid/ark:/13030/kt6p3038pt	Kattermann (Heinrich) photographs
http://www.oac.cdlib.org/findaid/ark:/13030/c84q7wbw	Katz (Demian) Gamebook Collection
http://www.oac.cdlib.org/findaid/ark:/13030/tf4489n6sq	Katz (Friedrich) Collection
http://www.oac.cdlib.org/findaid/ark:/13030/kt858038r6	Katz (Joseph) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt4g5033jd	Katz (Richard) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt9489s0dt	Katz (Rudolf) papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt358033kn	Katz (Samuel Irving) papers
http://www.oac.cdlib.org/findaid/ark:/13030/tf967nb3v8	Kaufman (Anne and Michael) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt4g5037qx	Kaufman (Edith Schoenberger) papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt2s2004kd	Kaufman (Harry) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/tf429006n3	Kaufman (Mary) Collection
http://www.oac.cdlib.org/findaid/ark:/13030/c82b8znq	Kaufmann (Gordon B.) drawings
http://www.oac.cdlib.org/findaid/ark:/13030/kt809nf5xb	Kaujewa (Jackson) sound recording
http://www.oac.cdlib.org/findaid/ark:/13030/kt0c6030xr	Kauke (Ruth Richardson) correspondence
http://www.oac.cdlib.org/findaid/ark:/13030/kt3c6031wn	Kaul'bars (Aleksandr Vasil'evich) typescript
http://www.oac.cdlib.org/findaid/ark:/13030/kt338nf2fr	Kaumheimer family papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt7v19r9qb	Kautsky (Benedikt) biography
http://www.oac.cdlib.org/findaid/ark:/13030/kt2s2032qv	Kautsky (Karl) typescript
http://www.oac.cdlib.org/findaid/ark:/13030/c8rv0q6b	Kavanaugh-Hecker (Frances) Clippings and Scrapbook
http://www.oac.cdlib.org/findaid/ark:/13030/kt7r29s1mq	Kavka (Gregory) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt4g5033v2	KAW issuances
http://www.oac.cdlib.org/findaid/ark:/13030/kt738nf68b	"Kawamoto (Casey) Records, 1952-1991"
http://www.oac.cdlib.org/findaid/ark:/13030/kt9199p852	Kawano (Shigeichi) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt758039sw	"Kay (Alan), ""Mice, Windows, and the Great Comet"""
http://www.oac.cdlib.org/findaid/ark:/13030/kt9c6021c9	Kay (Jack) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt0199r3rj	Kayden (Eugene Mark) typescript
http://www.oac.cdlib.org/findaid/ark:/13030/kt8f59s3p2	Kayden (Mildred). Letters from Ernst Krenek
http://www.oac.cdlib.org/findaid/ark:/13030/c808671w	Kaye (Lisa) papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt5j49r9j5	Kayser (Josef) papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt5199r8fv	Kazakh subject collection
http://www.oac.cdlib.org/findaid/ark:/13030/kt900038f3	KC PZPR records
http://www.oac.cdlib.org/findaid/ark:/13030/c8319xf6	"KCET-TV Collection of ""California Connected"" production files"
http://www.oac.cdlib.org/findaid/ark:/13030/c86t0p55	"KCET-TV Collection of ""California Connected"" video recordings"
http://www.oac.cdlib.org/findaid/ark:/13030/c8g73g8s	"KCET-TV Collection of ""Life and Times"" production files"
http://www.oac.cdlib.org/findaid/ark:/13030/c8qr4zn7	"KCET-TV Collection of ""Life and Times"" video recordings"
http://www.oac.cdlib.org/findaid/ark:/13030/kt8f59s2bd	KCSB Audiotape Collection
http://www.oac.cdlib.org/findaid/ark:/13030/tf2h4n994n	"KCSM-TV (Television Station : San Mateo, Calif.) The computer chronicles : television series"
http://www.oac.cdlib.org/findaid/ark:/13030/kt0q2nd7nt	Keane (James) Collection of Fritz Burns Biographical Materials
http://www.oac.cdlib.org/findaid/ark:/13030/kt7d5nf5r2	Kearney (Gene) papers
http://www.oac.cdlib.org/findaid/ark:/13030/tf396n99jv	Kearney (M. Theodore) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/tf0g5000r4	Kearney (M. Theodore) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt358033t8	Kearns (Henry) papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt2z09r58s	Kearns (Kenneth) video tape
http://www.oac.cdlib.org/findaid/ark:/13030/kt1j49r1g1	Kearns (Michael) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt62903498	Kearny Street Workshop Archives
http://www.oac.cdlib.org/findaid/ark:/13030/c8571drp	Keast (Phillip) Collection.
http://www.oac.cdlib.org/findaid/ark:/13030/c8zs2z1x	Keaton (Buster) papers
http://www.oac.cdlib.org/findaid/ark:/13030/tf938nb3p1	Keats (Mark) Photograph Collection
http://www.oac.cdlib.org/findaid/ark:/13030/c8m61ksw	Keddie (Arthur Walter) Family Papers
http://www.oac.cdlib.org/findaid/ark:/13030/tf0290010m	Keeler (Charles A.) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/c8833ss0	Keeler (James E.) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt8n39s3b6	(Keeler) Leonarde Papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt6q2nf2zc	Keeley (Joseph C.) miscellaneous papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt6d5nf4p7	Keeling (Richard) Collection 1979.02
http://www.oac.cdlib.org/findaid/ark:/13030/kt0s2029k3	Keen (Harold) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt229036f2	Keen (Myra A.) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/c8sf2xqg	Keene (Barry) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt338nd8xf	Keeny (Spurgeon Milton) newsletters
http://www.oac.cdlib.org/findaid/ark:/13030/kt7z09q827	Keesing (Roger M.) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/tf9s2007d3	"Keesling (Francis V.) Papers, 1906-1957"
http://www.oac.cdlib.org/findaid/ark:/13030/tf700005hc	"Keesling (Francis V.) Papers, 1908-1972"
http://www.oac.cdlib.org/findaid/ark:/13030/kt258032mc	Kefauver (Grayson Neikirk) papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt62903723	Kegley (Hugh Paul) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt3v19s0gk	Kegley (Hugh Paul) Photograph Album
http://www.oac.cdlib.org/findaid/ark:/13030/kt60003495	Keil (Robert H.) letters
http://www.oac.cdlib.org/findaid/ark:/13030/kt467nc6x0	"Keiser (Glen) Comic Books, Fantasy Drawings, and Realia Collection"
http://www.oac.cdlib.org/findaid/ark:/13030/hb3r29p2xx	Keith (Agnes Newton) papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt7779s1ct	Keith (Alexander Perkins) Special Collection
http://www.oac.cdlib.org/findaid/ark:/13030/kt1q2nd709	Keith (Gerald) and Cary Hayward miscellany
http://www.oac.cdlib.org/findaid/ark:/13030/kt6m3nf56s	Keith (Joseph Joel) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt4290367k	"Keith (Todd), ""Standardized Testing, Affirmative Action, and Stanford Admissions Policies Before 1970"""
http://www.oac.cdlib.org/findaid/ark:/13030/tf7199n90j	Keith-McHenry-Pond Family Papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt200030ws	Kelland (Clarence Budington) letters
http://www.oac.cdlib.org/findaid/ark:/13030/kt7f59s2kq	Keller (Clara Druzilla) Photograph Album
http://www.oac.cdlib.org/findaid/ark:/13030/kt0c60327c	Keller (Harald) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt0d5nc425	Keller (Helen) Letter and Printed Braille Card
http://www.oac.cdlib.org/findaid/ark:/13030/tf8t1nb362	Keller (Henry W.) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt2t1nb1vd	Keller (Henry W.) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt8p3038th	Keller (Joseph B.) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt6h4nc86p	Keller Latin American Diary
http://www.oac.cdlib.org/findaid/ark:/13030/tf2b69n5g8	Keller (Matthew) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/c8sx6dvd	"Keller (Vicki) Papers, White House Central Files, 1971-1972"
http://www.oac.cdlib.org/findaid/ark:/13030/kt209nd8bp	Keller-Frick (Ines) papers
http://www.oac.cdlib.org/findaid/ark:/13030/c8ms3vvq	Kelley (DeForest) papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt5d5nc7tj	Kelley (Douglas McGlashan) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt0p30318c	Kelley (Gerard William) papers
http://www.oac.cdlib.org/findaid/ark:/13030/c89z93xq	Kelley (H. Roy) papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt300034c8	Kelley (Robert L.) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/tf8j49p0mj	Kelley (Robert Lloyd) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt9r29s31h	Kelley (William J.) papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt5c6020zc	Kelliher (M. S.) Collection
http://www.oac.cdlib.org/findaid/ark:/13030/kt1z09r5mn	Kellner (Josef) papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt529034c0	Kellock (Harold) letter
http://www.oac.cdlib.org/findaid/ark:/13030/kt6d5nf2kq	Kellogg (Charlotte H.) papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt9199s4t9	Kellogg (Marjorie) Papers
