rel=cannonical	title	parent	onlineItems
http://www.oac.cdlib.org/findaid/ark:/13030/kt4m3nd399	L. A. Gay &amp; Lesbian Center Records	ark:/13030/kt2n39q9dc	false
http://www.oac.cdlib.org/findaid/ark:/13030/c8fj2hj6	"""LA 2000"" Records of the 2000 Democratic National Convention"	ark:/13030/kt9k402381	false
http://www.oac.cdlib.org/findaid/ark:/13030/kt200003mr	"La Argentina, Collection on"	ark:/13030/tf1p3008cx	false
http://www.oac.cdlib.org/findaid/ark:/13030/c8xp75qx	"L.A. as Subject records, 1989-2000 (bulk 1995-2000)"	ark:/13030/kt0p30317v	false
http://www.oac.cdlib.org/findaid/ark:/13030/kt1f59r53m	La Escuela Argentina de Los Angeles records	ark:/13030/kt0j49r87g	false
http://www.oac.cdlib.org/findaid/ark:/13030/kt5c60341s	La Fargue (Thomas Edward) collection	ark:/13030/tf4m3nb8sq	false
http://www.oac.cdlib.org/findaid/ark:/13030/tf996nb3td	La Grange Company Journal	ark:/13030/tf5r29p4tz	false
http://www.oac.cdlib.org/findaid/ark:/13030/kt696nd31t	La Habra Old Settlers Historical Society Collection	ark:/13030/kt1c6024gt	true
http://www.oac.cdlib.org/findaid/ark:/13030/tf4r29p0dh	La Jolla Civic-University Orchestra and Chorus Association. Records	ark:/13030/tf5r29p653	false
http://www.oac.cdlib.org/findaid/ark:/13030/kt8d5nf1x1	La Jolla Monthly Meeting of the Religious Society of Friends Records	ark:/13030/tf4779p5jq	false
http://www.oac.cdlib.org/findaid/ark:/13030/kt3580340b	La Jolla Shores Association Records	ark:/13030/tf4779p5jq	false
http://www.oac.cdlib.org/findaid/ark:/13030/c8154jz7	"La Laguna Revue Magazine Collection, 1960s."	ark:/13030/c8vh5qsb	false
http://www.oac.cdlib.org/findaid/ark:/13030/kt3x0nf3nk	La Onda Chicana [videorecording]	ark:/13030/tf458010c5	false
http://www.oac.cdlib.org/findaid/ark:/13030/kt2c60333d	La Picirella (Joseph) sound recording	ark:/13030/tf4m3nb8sq	false
http://www.oac.cdlib.org/findaid/ark:/13030/kt5779p6mw	La Purisima Mission State Historic Park Collection	ark:/13030/kt3g50036k	false
http://www.oac.cdlib.org/findaid/ark:/13030/c8zg6r63	La Roche (Frank) Photographs of Alaska	ark:/13030/tf6t1nb9mj	false
http://www.oac.cdlib.org/findaid/ark:/13030/c8kp84bv	La Rochester Mexico Photograph Collection	ark:/13030/c8736rx6	false
http://www.oac.cdlib.org/findaid/ark:/13030/tf0d5n97f2	La Rue (Eugene Clyde) Papers	ark:/13030/tf209nb609	false
http://www.oac.cdlib.org/findaid/ark:/13030/kt3x0nd9v4	La Tondre (Richard B.) medals	ark:/13030/tf4m3nb8sq	false
http://www.oac.cdlib.org/findaid/ark:/13030/c8fx7cj7	La Tourette (Frank) papers	ark:/13030/tf129008pn	false
http://www.oac.cdlib.org/findaid/ark:/13030/c8k35vdf	LAAMP Collection	ark:/13030/kt9k402381	false
http://www.oac.cdlib.org/findaid/ark:/13030/c8x92ct2	Laan Tau Mountain Camp Collection	ark:/13030/c8zp473v	false
http://www.oac.cdlib.org/findaid/ark:/13030/kt3k4032vx	Laba (Roman) collection	ark:/13030/tf4m3nb8sq	false
http://www.oac.cdlib.org/findaid/ark:/13030/kt4q2nb2p8	Labagnino (Lars) Collection on Newport Beach Real Estate	ark:/13030/tf1p3008cx	false
http://www.oac.cdlib.org/findaid/ark:/13030/kt5199q5jh	Laban (Juana de) papers	ark:/13030/tf129008pn	false
http://www.oac.cdlib.org/findaid/ark:/13030/kt0t1nc9dc	Laban (Rudolf) Icosahedron	ark:/13030/tf1p3008cx	false
http://www.oac.cdlib.org/findaid/ark:/13030/kt2q2nd9hb	Labedz (Leopold) papers	ark:/13030/tf4m3nb8sq	false
http://www.oac.cdlib.org/findaid/ark:/13030/c8w0981r	Laben (Robert) Collection	ark:/13030/tf1489p250	false
http://www.oac.cdlib.org/findaid/ark:/13030/kt1489r77p	Labin (Suzanne) processed volume	ark:/13030/tf4m3nb8sq	false
