rel=cannonical	title	parent	onlineItems
http://www.oac.cdlib.org/findaid/ark:/13030/c82j69k8	U. S. Grant Hotel Records	ark:/13030/tf4779p5jq	false
http://www.oac.cdlib.org/findaid/ark:/13030/kt6v19p061	UC Berkeley Campus Events	ark:/13030/tf6x0nb9j5	false
http://www.oac.cdlib.org/findaid/ark:/13030/kt429003bb	UC Berkeley Campus Views	ark:/13030/tf6x0nb9j5	false
http://www.oac.cdlib.org/findaid/ark:/13030/kt4c6003tj	UC Berkeley Students : Scrapbooks	ark:/13030/tf6x0nb9j5	false
http://www.oac.cdlib.org/findaid/ark:/13030/c8vq34c7	UC Davis Web Archives	ark:/13030/kt3z09r97h	true
http://www.oac.cdlib.org/findaid/ark:/13030/tf0c600134	Uchida (Yoshiko) Papers	ark:/13030/tf7r29p8s0	true
http://www.oac.cdlib.org/findaid/ark:/13030/ft6k4007pc	Uchida (Yoshiko) photograph collection	ark:/13030/tf7r29p8s0	true
http://www.oac.cdlib.org/findaid/ark:/13030/kt8x0nd5nn	UCLA Department of Ethnomusicology collection	ark:/13030/kt2g501822	false
http://www.oac.cdlib.org/findaid/ark:/13030/c84m95w3	"UCLA Foundation. Financial statements, minutes of meetings, and reports."	ark:/13030/tf1d5nb4kf	false
http://www.oac.cdlib.org/findaid/ark:/13030/c80v8f0j	UCLA Gay Awareness Week Records	ark:/13030/kt2n39q9dc	false
http://www.oac.cdlib.org/findaid/ark:/13030/kt129033hb	UCLA Library Center for Oral History Research interview transcripts and recordings	ark:/13030/kt109nd96s	true
http://www.oac.cdlib.org/findaid/ark:/13030/kt7d5nc9nj	UCLA Students. Course materials and papers.	ark:/13030/tf1d5nb4kf	false
http://www.oac.cdlib.org/findaid/ark:/13030/kt3t1nc5mg	UCLA Students. Student Activism materials.	ark:/13030/tf1d5nb4kf	false
http://www.oac.cdlib.org/findaid/ark:/13030/c8rb75xm	"UCLA University Archives. Artifacts, ephemera, and memorabilia."	ark:/13030/tf1d5nb4kf	false
http://www.oac.cdlib.org/findaid/ark:/13030/kt9c6023ds	UCLA University Archives. Biographical files (Reference Collection).	ark:/13030/tf1d5nb4kf	false
http://www.oac.cdlib.org/findaid/ark:/13030/c8vt1sxj	UCLA University Archives. Photographs (Reference Collection).	ark:/13030/tf1d5nb4kf	false
