rel=cannonical	title
http://www.oac.cdlib.org/findaid/ark:/13030/c8v40vs9	Vaca Valley and Clear Lake Railroad Collection
http://www.oac.cdlib.org/findaid/ark:/13030/tf2h4nb6jv	"Vacation Cyanotypes from Lake County, California"
http://www.oac.cdlib.org/findaid/ark:/13030/tf400006bb	Vacaville Oral History Collection
http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb26n	Vagner (Ekaterina N.) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt6j49r817	Vail (Edwin H.) letters
http://www.oac.cdlib.org/findaid/ark:/13030/tf838nb2ss	Vaizey (John) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt3f59r6mg	Vajay (Szabolcs de) typescript
http://www.oac.cdlib.org/findaid/ark:/13030/kt68703592	Vajdic (Dragutin) typescript
http://www.oac.cdlib.org/findaid/ark:/13030/kt5489r9n3	Vajraprahar (Dr.) printed material
http://www.oac.cdlib.org/findaid/ark:/13030/kt7q2nf2x5	Vaksmut (A. P.) holograph
http://www.oac.cdlib.org/findaid/ark:/13030/tf15800134	Valancay (Robert) correspondence
http://www.oac.cdlib.org/findaid/ark:/13030/c8bv7h5b	Valdez (Luís) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/c85d8v0k	Valença (Francisco) papers
http://www.oac.cdlib.org/findaid/ark:/13030/c8mg7r7t	Valente (William E.) Papers.
http://www.oac.cdlib.org/findaid/ark:/13030/kt5779s0b6	Valentine (Virginia) Scrapbook
http://www.oac.cdlib.org/findaid/ark:/13030/tf300002j6	"Valentinov, N. (Nikolai) Papers"
http://www.oac.cdlib.org/findaid/ark:/13030/kt7v19s2tz	Valiant Knights of Daguerre photographs
http://www.oac.cdlib.org/findaid/ark:/13030/kt6k40371v	Valjavec (Fritz) collection
http://www.oac.cdlib.org/findaid/ark:/13030/kt1m3nf0qk	Valkeapaeae (P. J.) printed material
http://www.oac.cdlib.org/findaid/ark:/13030/tf487006ds	"Vallejo and Mare Island, ca. 1865-ca. 1910 - Views"
http://www.oac.cdlib.org/findaid/ark:/13030/c8fj2j7k	Vallejo Family Papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt300019nx	Vallejo (General M.G.) Family Members and Descendents Photograph Collection
http://www.oac.cdlib.org/findaid/ark:/13030/kt1g5025sm	Vallejo (Linda) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt6r29s1wj	Vallejo (Linda) Portfolio
http://www.oac.cdlib.org/findaid/ark:/13030/tf1m3n986j	Valley Land &amp;amp; Sugar Co. Papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt1c6033jt	Valley Medical Center Collection
http://www.oac.cdlib.org/findaid/ark:/13030/c82j6dmz	Valley Music Theatre Photograph Collection
http://www.oac.cdlib.org/findaid/ark:/13030/tf5h4nb0xk	Valley of Santa Clara: Historic Buildings : Papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt0w1033mt	Valters (Erika) letters
http://www.oac.cdlib.org/findaid/ark:/13030/tf48700388	Valters (Mikelis) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/tf8z09p0cj	Value of Secular Realty in Israel
http://www.oac.cdlib.org/findaid/ark:/13030/kt3c603305	Valyiova (Lisa) papers
http://www.oac.cdlib.org/findaid/ark:/13030/tf3v19n6cs	Vambery (Rusztem) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/tf9v19p3p9	Van Alstyne (Richard W.) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt267nf0vb	Van Andel (Tjeerd H.) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt709nf28r	Van Antwerp (William M.) papers
http://www.oac.cdlib.org/findaid/ark:/13030/c8t155dn	Van Bourg (Victor) Collection
http://www.oac.cdlib.org/findaid/ark:/13030/tf087000tv	Van Buskirk Family Collection
http://www.oac.cdlib.org/findaid/ark:/13030/kt8199s1hw	Van Cise (Philip Sidney) papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt9g5029s1	Van de Mark (Dave) photograph collection
http://www.oac.cdlib.org/findaid/ark:/13030/kt9h4nf39n	Van Deman (Ralph H.) papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt9s2039pw	Van der Kaar (Helena) letters
http://www.oac.cdlib.org/findaid/ark:/13030/kt396nf0pq	Van der Linden (Frank) papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt0p3032ff	Van der Stricht (Paul) papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt6c6007jz	Van der Veer (Judy) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/tf6j49p1wj	Van der Voort (Antoni) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt0000342p	Van Devender (Neal) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/c8cz37sx	"Van Guysling (George E.) (d.1946) Collection, ca. 1850-1957"
http://www.oac.cdlib.org/findaid/ark:/13030/kt5s20204k	Van Heusen (Jimmy) Collection of Musical Works and Papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt238nd978	Van Hook (Clifford E.) papers
http://www.oac.cdlib.org/findaid/ark:/13030/tf5v19n7x5	Van Keuren (Alexander H.) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt187025dm	Van Kriedt (David) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/c8z036j0	Van Ness Recovery House Records
http://www.oac.cdlib.org/findaid/ark:/13030/tf8r29n9ww	van Niel (C.B.) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/c8xs5x4p	Van Nuys High School Newspaper Collection
http://www.oac.cdlib.org/findaid/ark:/13030/kt2v19r4sd	Van Patten (Nathan) certificate
http://www.oac.cdlib.org/findaid/ark:/13030/ft9r29p049	Van Patten (Nathan) Memorial Library of Music
http://www.oac.cdlib.org/findaid/ark:/13030/kt8b69s33m	Van Patten (Nathan) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/c8z89brc	Van Pelt (Garrett) architectural drawings and photographs
http://www.oac.cdlib.org/findaid/ark:/13030/kt458035kx	"Van Rensselaer (Maunsell) Collection, 1920-1970"
http://www.oac.cdlib.org/findaid/ark:/13030/kt0f59r8k0	Van Tamelen (Eugene E.) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt6p304023	Van Til (William) papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt9q2nf42t	Van Wetter (Alex) collection
