rel=cannonical	title
http://www.oac.cdlib.org/findaid/ark:/13030/c8w66mjj	"W. H. Talbot (built 1891; schooner, 4m) logbook and newspaper clipping"
http://www.oac.cdlib.org/findaid/ark:/13030/tf7s2005dh	"W. P. Fuller &amp; Co. (San Francisco, Calif.) Records"
http://www.oac.cdlib.org/findaid/ark:/13030/kt3489r8dc	Wachhold (Allen Glen) typescript
http://www.oac.cdlib.org/findaid/ark:/13030/c82r3sdr	Wachs (Joel) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt6k4022pt	Wachsmann (Klaus) Collection
http://www.oac.cdlib.org/findaid/ark:/13030/kt5n39r9vg	Wachsmann (Klaus) Collection
http://www.oac.cdlib.org/findaid/ark:/13030/c8gh9kdv	Wachsner (Frank and Trixie) Collection
http://www.oac.cdlib.org/findaid/ark:/13030/kt2j49p478	Waddell (Charles W.) papers
http://www.oac.cdlib.org/findaid/ark:/13030/c880544b	Waddell (Richard) Typescript and Drafts
http://www.oac.cdlib.org/findaid/ark:/13030/c8v125gq	Waddell (Thomas) papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt867nd57v	Waddingham Slide Collection and Papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt7n39q6k2	Wade (Benjamin F.) Correspondence
http://www.oac.cdlib.org/findaid/ark:/13030/c81r6pv5	Wade (Charles J.) Account Books
http://www.oac.cdlib.org/findaid/ark:/13030/kt3w1035jp	Wade (Nigel) collection
http://www.oac.cdlib.org/findaid/ark:/13030/kt929016fb	Wade (Ruth C.) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/tf967nb36f	Wadsworth (Eden) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt1q2nd8g1	Waffen-SS. 15 Grenadier-Division records
http://www.oac.cdlib.org/findaid/ark:/13030/kt8k4036zz	"Waffen-SS. 7 Panzer-Division ""Leibstandarte Adolf Hitler"" logbook"
http://www.oac.cdlib.org/findaid/ark:/13030/c8mc90sm	Waggoner (W.W.) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/c8cj8f19	"Wagner, Betty Ann: Wayfarers Ministry Newsletters"
http://www.oac.cdlib.org/findaid/ark:/13030/kt8f59s18w	Wagner (Blanche Collet) Manuscripts
http://www.oac.cdlib.org/findaid/ark:/13030/c8m909zg	Wagner (Charles) Collection
http://www.oac.cdlib.org/findaid/ark:/13030/kt6m3nc13d	Wagner (Eleanor R.) papers
http://www.oac.cdlib.org/findaid/ark:/13030/tf167nb0gn	Wagner (Gordon) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/tf6779n8g9	Wagner (Henry R.) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt0m3n99kr	Wagner (Henry R.) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/c8qf8vct	Wagner (Henry Raup) Collection
http://www.oac.cdlib.org/findaid/ark:/13030/kt7b69r7x6	Wagner (Henry Raup) Collection
http://www.oac.cdlib.org/findaid/ark:/13030/c8p84cn2	Wagner (Jack R.) papers
http://www.oac.cdlib.org/findaid/ark:/13030/c8m90972	Wagner (Jack Russell) Collection
http://www.oac.cdlib.org/findaid/ark:/13030/c8736rqh	Wagner (Joseph) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/tf996nb3b5	Wagner (Otto) Correspondence
http://www.oac.cdlib.org/findaid/ark:/13030/kt2n39n8xr	Wagner (Rob) papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt6g50365s	Wagner (Sally Roesch) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt0x0nf26f	Wagstaff (Samuel) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/tf687005ff	Wahl (Henry C.) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt4k4034q4	Wainwright (W. A.) photographs
http://www.oac.cdlib.org/findaid/ark:/13030/c8736rp2	"Waite (C.B.) Collection, ca. 1900"
http://www.oac.cdlib.org/findaid/ark:/13030/c8zg6qnh	Waite (Charles B.) photographs
http://www.oac.cdlib.org/findaid/ark:/13030/kt8k4022ft	Waite (Morrison R.) Collection
http://www.oac.cdlib.org/findaid/ark:/13030/kt6v19s0v6	Waite (Willis Willard) photographs and memorabilia
http://www.oac.cdlib.org/findaid/ark:/13030/c84f1sgd	Wakeling (Gwen) costume design drawings
http://www.oac.cdlib.org/findaid/ark:/13030/c80p10s3	Wakeman (Captain Edgar) papers
http://www.oac.cdlib.org/findaid/ark:/13030/c8dz09rg	Walcott (C. D.) Letter
http://www.oac.cdlib.org/findaid/ark:/13030/c81j9cf4	Wald (Karen Lee) Cuban research audio visual collection
http://www.oac.cdlib.org/findaid/ark:/13030/kt0c6029p1	Waldau (Otto Hoffman von) diary
http://www.oac.cdlib.org/findaid/ark:/13030/c8dn44bf	Waldeck (Jacob E.) Theater Scrapbook
http://www.oac.cdlib.org/findaid/ark:/13030/kt1j49r428	Waldeck (Meyer) memoir
http://www.oac.cdlib.org/findaid/ark:/13030/kt9t1nf650	Walden (John) collection
http://www.oac.cdlib.org/findaid/ark:/13030/kt42903400	Waldheim (Kurt) interview transcript
http://www.oac.cdlib.org/findaid/ark:/13030/tf2r29n94n	Waldie (John) Papers
