count	level1	level2	onlineItems
260	Academy of Motion Picture Arts and Sciences	""	onlineItems
260	""	Margaret Herrick Library	onlineItems
27	Agua Caliente Cultural Museum	""	onlineItems
1	"Alameda County Library, Dublin Library"	""	onlineItems
1	Albany Library	""	onlineItems
3	American Jewish University	""	onlineItems
1	Anaheim Public Library	""	onlineItems
1	Arcadia Public Library	""	onlineItems
2	Art Center College of Design Archives	""	""
358	Autry National Center	""	onlineItems
1	Banning Library District	""	onlineItems
1	Beaumont Library District	""	onlineItems
1	Berkeley Public Library	""	onlineItems
1	Black Gold Cooperative Library System	""	onlineItems
12	California Academy of Sciences	""	onlineItems
2	California College of the Arts Libraries	""	""
149	California Historical Society	""	onlineItems
107	California Institute of Technology	""	onlineItems
5	California Institute of the Arts Institute Archive	""	onlineItems
8	California Jesuit Archives	""	""
6	"California Judicial Center Library, Special Collections and Archives"	""	""
51	California Polytechnic State University - San Luis Obispo	""	onlineItems
353	California State Archives	""	""
1103	California State Library	""	onlineItems
16	California State Parks	""	""
22	"California State Polytechnic University, Pomona"	""	""
1	""	ENV Archives-Special Collections	""
18	""	University Library Special Collections	""
3	""	W.K. Kellogg Arabian Horse Library	""
147	California State Railroad Museum Library	""	""
2	California State University Channel Islands	""	onlineItems
47	"California State University, Chico"	""	onlineItems
119	"California State University, Dominguez Hills"	""	""
63	""	Archives and Special Collections Department	""
56	""	California State University Archives	""
14	"California State University, East Bay University Archives"	""	onlineItems
34	"California State University, Fresno"	""	""
1	""	Central Valley Political Archive	""
33	""	Special Collections Research Center	""
45	"California State University, Fullerton"	""	onlineItems
1	""	Center for Oral and Public History	""
44	""	University Archives and Special Collections	onlineItems
1	"California State University, Los Angeles"	""	onlineItems
1	"California State University, Monterey Bay Library"	""	onlineItems
316	"California State University, Northridge. Oviatt Library"	""	""
1	""	International Guitar Research Archives (IGRA)	""
59	""	Old China Hands Archives	""
145	""	Special Collections	""
5	""	University Archives	""
106	""	Urban Archives	""
46	"California State University, Sacramento Library"	""	onlineItems
1	"California State University, Stanislaus. Library"	""	onlineItems
7	Center for Mennonite Brethren Studies	""	""
7	Center for Sacramento History	""	""
1	Center for the Study of Political Graphics	""	""
36	"Chapman University, Frank Mt. Pleasant Library of Special Collections and Archives"	""	onlineItems
1	Chula Vista Public Library	""	onlineItems
1	"Citrus College, Hayden Memorial Library"	""	onlineItems
1	City of Commerce Public Library	""	onlineItems
137	Claremont Colleges	""	""
38	""	Denison (Ella Strong) Library	""
99	""	Honnold/Mudd Library	""
17	Computer History Museum	""	""
2	Corona Public Library	""	onlineItems
1	Coronado Public Library	""	onlineItems
1	Covina Public Library	""	onlineItems
1	De Anza College. California History Center	""	onlineItems
1	Dublin Heritage Park and Museums	""	onlineItems
1	Escondido Public Library. Pioneer Room	""	onlineItems
6	Fresno City and County Historical Society	""	""
2	Fresno County Public Library	""	onlineItems
73	Fuller Theological Seminary-David Allan Hubbard Library Archives	""	""
1	Fullerton College	""	onlineItems
173	"Gay, Lesbian, Bisexual, Transgender Historical Society"	""	onlineItems
349	Getty Research Institute	""	onlineItems
48	""	Institutional Archives	onlineItems
301	""	Special Collections	onlineItems
4	Glendale Public Library	""	onlineItems
119	Graduate Theological Union	""	onlineItems
1	Historical Sites Society of Arcata	""	""
72	History San Jose Research Library	""	onlineItems
6035	Hoover Institution	""	onlineItems
10	Humboldt State University Library	""	onlineItems
373	Huntington Library	""	onlineItems
6	""	Architecture Collections	onlineItems
260	""	Manuscripts Department	""
82	""	Photo Archives	onlineItems
19	""	Prints and Ephemera	onlineItems
4	""	Rare Books Department	""
1	Inglewood Public Library	""	onlineItems
1	Intel Museum	""	onlineItems
1	Japanese American Historical Society of San Diego	""	""
32	Japanese American National Museum	""	onlineItems
1	Kern County Library	""	onlineItems
1	La Habra Old Settlers Historical Society	""	onlineItems
1	Liberty High School Library	""	onlineItems
1	Little People of America Archive	""	""
11	Los Angeles County Metropolitan Transportation Authority Research Library and Archive	""	""
9	"Los Angeles County Museum of Art, Balch Art Research Library"	""	""
5	Los Angeles Maritime Museum	""	onlineItems
1	Los Angeles Philharmonic Archives	""	onlineItems
88	"Loyola Marymount University, Department of Archives and Special Collections, William H. Hannon Library"	""	onlineItems
1	Marin County Free Library	""	onlineItems
1	Mill Valley Public Library	""	onlineItems
4	Mills College	""	onlineItems
1	Mission Viejo Library	""	onlineItems
1	Monterey County Free Libraries	""	onlineItems
1	Monterey Park Bruggemeyer Library	""	onlineItems
2	"Museum of Performance and Design, Performing Arts Library"	""	onlineItems
2	Museum of Photographic Arts	""	onlineItems
37	Museum of Ventura County	""	""
29	NASA Ames Research Center	""	""
6	"Nevada County Libraries, Doris Foley Library for Historical Research"	""	onlineItems
495	ONE National Gay and Lesbian Archives	""	""
4	Oakland Museum of California	""	onlineItems
101	Oakland Public Library	""	onlineItems
100	""	African American Museum and Library at Oakland	""
1	""	Oakland History Room and Maps Division	onlineItems
9	Occidental College Library	""	onlineItems
16	"Ontario City Library, Robert E. Ellingwood Model Colony History Room"	""	onlineItems
1	Orange County Public Library	""	onlineItems
1	Orange Public Library	""	onlineItems
2	Other Minds Archive	""	""
1	Oxnard Public Library	""	onlineItems
1	Palos Verdes Library District	""	onlineItems
1	Pasadena Digital History Collaboration	""	onlineItems
24	Pasadena Museum of History	""	""
121	Pepperdine University. Special Collections and University Archives	""	""
5	Perris Valley Museum Historical Archives	""	""
1	Placentia Library District	""	onlineItems
1	Pomona Public Library	""	onlineItems
2	"Presentation Archives, Sisters of the Presentation of the Blessed Virgin Mary (PBVM)"	""	""
1	Rancho Cucamonga Library Services	""	onlineItems
1	Redwood City Public Library	""	onlineItems
2	Redwood National Park	""	""
106	Richard Nixon Presidential Library and Museum	""	onlineItems
1	Richmond Public Library	""	onlineItems
2	Riverside Public Library	""	onlineItems
12	Roseville Public Library	""	""
12	Sacramento County Office of Education	""	""
18	Sacramento Public Library	""	""
2	San Bernardino Public Library	""	onlineItems
1	San Bruno Public Library	""	onlineItems
24	San Diego Air and Space Museum Library and Archives	""	""
145	San Diego History Center (formerly San Diego Historical Society)	""	onlineItems
4	San Diego Museum of Man	""	""
