rel=cannonical	title
http://www.oac.cdlib.org/findaid/ark:/13030/kt0n39p28v	A. Brown Co. Records
http://www.oac.cdlib.org/findaid/ark:/13030/kt9c6039b3	"""A Celebration of the Life of Gerald Gunther"" [videorecording]"
http://www.oac.cdlib.org/findaid/ark:/13030/kt6v19s0x7	"""A Century of Women: Sexuality and Social Justice"""
http://www.oac.cdlib.org/findaid/ark:/13030/kt8b69s31k	"""A Culinary Alphabet"""
http://www.oac.cdlib.org/findaid/ark:/13030/kt3v19r7v6	"""A is for atom, B is for bomb"" video tape"
http://www.oac.cdlib.org/findaid/ark:/13030/c8rr20xs	"""A Midsummer Night's Dream"" scrapbook"
http://www.oac.cdlib.org/findaid/ark:/13030/c8qf8r9p	"""A Part of his Childhood Belongs to Peter Coutts; A Reminiscence of Wendell Fletcher."""
http://www.oac.cdlib.org/findaid/ark:/13030/c8v40w0d	"""A Photographic Record of the Allied Air Effort in Support of the Invasion of the Continent of Europe"""
http://www.oac.cdlib.org/findaid/ark:/13030/kt9v19s29t	"""A Tribute to Wallace Stegner"""
http://www.oac.cdlib.org/findaid/ark:/13030/c8rb769z	Aaron (Benjamin) papers
http://www.oac.cdlib.org/findaid/ark:/13030/c89w0ggb	Aarons Enterprises files
http://www.oac.cdlib.org/findaid/ark:/13030/kt4g5037cr	Aarons (Leroy) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/c83j3dqg	AAUW Santa Cruz Records
http://www.oac.cdlib.org/findaid/ark:/13030/kt0p303568	Abbey of New Clairvaux Collection
http://www.oac.cdlib.org/findaid/ark:/13030/tf129003ck	Abbeys - Collection of Material
http://www.oac.cdlib.org/findaid/ark:/13030/tf2h4nb2bt	Abbott (Charles H.)Photographs
http://www.oac.cdlib.org/findaid/ark:/13030/kt8w1028g6	Abbott (Clint) historical sheet music collection
http://www.oac.cdlib.org/findaid/ark:/13030/c8930rjm	Abbott (Donald P.) papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt6x0nf63p	Abbott (Donald Putnam) Correspondence and Report
http://www.oac.cdlib.org/findaid/ark:/13030/kt5q2nf4nc	ABC Television Network scripts and production material for television
http://www.oac.cdlib.org/findaid/ark:/13030/kt6n39r8h4	Abdank-Kossovskii (Vladimir Konkordovich) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/tf5d5nb30d	Abdullah (Achmed) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/tf1n39n4q2	Abel (Elie) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt5j49p7mb	Abel (Rudolfe) Collection of Material about Dance in S. Calif.
http://www.oac.cdlib.org/findaid/ark:/13030/tf3489n5vz	Abel (Theodore F.) papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt0w1032g8	Abele (Barbara) Bookplate Collection
http://www.oac.cdlib.org/findaid/ark:/13030/kt5489s0c2	Abell (Thornton Montaigne) papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt838nf1ft	Abenheim (Donald) collection
http://www.oac.cdlib.org/findaid/ark:/13030/tf487003db	Abercromby (James) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/tf0b69n3ww	Abernethy (David B.) miscellaneous papers
http://www.oac.cdlib.org/findaid/ark:/13030/c8xk8g3x	Abernethy (David B.) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/c8br8tm7	Abert (John James) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt6h4nf2nd	Ab'iadnanaia hramadzianskaia partyia belarusi issuances
http://www.oac.cdlib.org/findaid/ark:/13030/ft296n98dc	Abiko Family Papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt109nd738	Abizaid (John) collection
http://www.oac.cdlib.org/findaid/ark:/13030/kt896nf8xr	Abkhaz subject collection
http://www.oac.cdlib.org/findaid/ark:/13030/kt4g5033kx	Ablard (Charles D.) papers
http://www.oac.cdlib.org/findaid/ark:/13030/tf8h4nb672	Ablon (Joan I.) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt4x0nf213	Abolish Cross-Filing in California records
http://www.oac.cdlib.org/findaid/ark:/13030/kt2f59s050	Abolish Cross-Filing in California records
http://www.oac.cdlib.org/findaid/ark:/13030/kt1t1nd741	Aborn (Edward) Collection
http://www.oac.cdlib.org/findaid/ark:/13030/kt5c6035t5	Abraham (Wendy) interviews
http://www.oac.cdlib.org/findaid/ark:/13030/tf5s2004pj	Abrahams (William M.) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt6h4nf6gr	Abrams (Herbert L.) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/tf9v19p0dq	Abrams (Irwin) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt2489r8t8	Abrams (Leroy) Papers
http://www.oac.cdlib.org/findaid/ark:/13030/kt8r29s0q3	Abramson (Joan) typescript
http://www.oac.cdlib.org/findaid/ark:/13030/kt5d5nd9xh	Abramson (Lillian) collection
http://www.oac.cdlib.org/findaid/ark:/13030/c8ng4rfp	"Abril (Ben) Collection, mid-20th century"
http://www.oac.cdlib.org/findaid/ark:/13030/c80v8br5	"Abstract of title to block 8, lot 3, Chico"
http://www.oac.cdlib.org/findaid/ark:/13030/c8tb15wh	Abstract of title to the Albertson tract
http://www.oac.cdlib.org/findaid/ark:/13030/c82v2f4p	Abstract of title to the Danish tract of the Farwell Grant
http://www.oac.cdlib.org/findaid/ark:/13030/c8dz07mv	Abstracts of Title to Rancho Santa Anita
http://www.oac.cdlib.org/findaid/ark:/13030/c8qc02gx	"Academic Personnel Records (University of California, Irvine)"
http://www.oac.cdlib.org/findaid/ark:/13030/kt8q2nd176	Academic Senate. Academic Council - Minutes
http://www.oac.cdlib.org/findaid/ark:/13030/tf8n39p36f	Academic Senate Administrative Records
http://www.oac.cdlib.org/findaid/ark:/13030/kt096nc5d5	"Academic Senate. Budget Committee. Agendas, minutes and reports."
http://www.oac.cdlib.org/findaid/ark:/13030/kt8q2nd16p	Academic Senate. Committee on Budget and Interdepartmental Relations. Minutes of meetings and reports.
http://www.oac.cdlib.org/findaid/ark:/13030/kt096nc5fp	"Academic Senate. Committee on Undergraduate Courses and Curricula. Agendas, minutes, and reports."
http://www.oac.cdlib.org/findaid/ark:/13030/kt6199s4xx	"Academic Senate Distinguished Faculty Lecture Records (University of California, Irvine)"
http://www.oac.cdlib.org/findaid/ark:/13030/c8fb54gt	Academic Senate. Emergency Executive Committee. Committee records.
http://www.oac.cdlib.org/findaid/ark:/13030/c8rj4kpc	"Academic Senate. Los Angeles Division. Agendas, minutes, and reports."
http://www.oac.cdlib.org/findaid/ark:/13030/kt4x0nc7kw	"Academic Senate. Los Angeles Division. By-laws, catalogs, and manuals."
http://www.oac.cdlib.org/findaid/ark:/13030/kt8h4nd0nm	Academic Senate. Los Angeles Division. Committee on Educational Policy. Minutes of meetings.
http://www.oac.cdlib.org/findaid/ark:/13030/kt0k4018zj	Academic Senate. Los Angeles Division. Committee on Teaching.
